Row_Labels,Count_AnimalName
RENNY,1
DEEDEE,2
GLADIATOR,1
NESTLE,1
NYKE,1
BABY GIRL,3
EVVIE,1
AMADEUS,1
FINLEY,4
C.C.,1
ALLY MAY,1
ADELE,1
PRINCESS PEA,1
OSLO,1
ROMEO GRAY,1
APPA,1
BANDIDO,1
BESSIE,1
SUSIE Q II,1
NAMASTE,1
SQUIRT,2
NIKE,4
ELLIE BEAN,1
SHEBAH BEAR,1
JENNY LYNN,1
FENWAY,2
CLETUS,1
TOBY II,1
ANGUS,10
RYLEE,1
CHITU,1
BUXTON,1
YUM YUM,1
MCCOY,1
TANGO,2
KEYNA,1
JUDE,1
EL NINO,1
BUG,2
JOLI,1
ROWDEY,2
GABY,3
CHINO,4
MUSKA,1
SHYLO,1
BOOTS,2
LENNY,6
JUNIOR,1
DESDEMONA,1
ZAMBO,1
SIRIUS,2
IZABELL,1
D.O.G.,2
PJ,4
MARLEY,23
ANUBIS,2
ESKA,3
MACKENZIE,5
CROUTON,1
TREY,1
IZABEL,1
TOYA,1
GERTIE,3
ILA,1
QUIGLEY,1
MERRY,1
BRINDLE,1
DIMSUM,1
QUOY,1
GIZ,1
AYLA,4
SUKI,4
FELIX,3
LACEY,7
DENIM,1
NOIR,1
ALEXIS,1
KINLEY,9
SPECIAL,1
ACE,9
RUDOLPH,1
ERIS,2
TICANI,1
WAYLON,1
HAROLD,2
CET,1
KONA,25
BOBOI,1
TRAPPER,7
TOWELIE,1
CAESER,2
NANCY,1
JUSTY,1
BIG BEN,1
KALUB,1
SAPPHIRE,1
TEDI BEAR,1
MIMI,4
COLEY BEAR,1
CHIKA,1
KHALUA,1
CHILIE,1
PUNGO,1
KAFKA,1
SNOWEE,1
TRUDY,4
BEETHOVEN,1
KAINO,1
SPIDERMAN,1
PHEONIX,1
SATO,1
WILEY,3
SHAKIE,1
TOBLERONE,2
CUBBY BEAR,1
OTTO,4
BAYLEE,3
SONYA,1
KISMET,2
COWBOY,5
LUKA,3
LUCY BROWN,1
GRIFFEN,1
BJ,1
POOH,1
MOONSHINE,1
SUSUKI,1
MARCELL,1
HAKU,1
WEDGE,1
TULI,1
JJIN,1
CHING CHING,1
CUJO,3
CALYPSO,1
JIMMY BUCKET,1
KAVIK,1
LEXIE,4
BRUCE,8
WILSON,2
MOOGAN,1
MAZZOLINI,1
MIZUKI,1
TIKKI,1
STACEY,1
MAHLI,1
TUULI,3
PATIENCE,2
SHEEP,1
YOZHKA,1
MACHO,1
ODIN,10
SHANE,3
D'BO,1
NICKI,3
AMELIA,1
SPICE,4
SCARFACE,1
HAYDEN,1
COBALT,1
OLE,1
HOOPER,3
HANS,2
DEE DEE,2
GROMIT,2
KYLA,1
DORA,3
KENIA,1
SEVERAS,1
MEMPHIS,1
PATSY,2
BUNTA,1
NAPOLEON,2
GANDALF,1
FISHER,2
BLIZZ,1
WOOTER,1
GRIFFON,1
HUDY,1
TIDBIT,1
MS LILIE,1
EM'REI JOY,1
KINGSTON,2
SAGE,4
BARNABAS,1
MARTIN,1
KAYMA,1
ASPEN,7
MABEL,3
HOBBS,3
FIFI,3
NINO,1
CIVIC,1
CECE,3
TETSUO,1
PEDEY,1
ZELDA,4
